Date,Consumer Confidence
Jan 2005,1
Feb 2005,0
Mar 2005,1
Apr 2005,0
May 2005,-1
Jun 2005,-3
Jul 2005,-1
Aug 2005,-4
Sep 2005,-5
Oct 2005,-8
Nov 2005,-8
Dec 2005,-9
Jan 2006,-3
Feb 2006,-4
Mar 2006,-7
Apr 2006,-4
May 2006,-5
Jun 2006,-4
Jul 2006,-4
Aug 2006,-8
Sep 2006,-7
Oct 2006,-5
Nov 2006,-7
Dec 2006,-8
Jan 2007,-7
Feb 2007,-8
Mar 2007,-8
Apr 2007,-6
May 2007,-2
Jun 2007,-3
Jul 2007,-6
Aug 2007,-4
Sep 2007,-7
Oct 2007,-8
Nov 2007,-10
Dec 2007,-14
Jan 2008,-13
Feb 2008,-17
Mar 2008,-19
Apr 2008,-24
May 2008,-29
Jun 2008,-34
Jul 2008,-39
Aug 2008,-36
Sep 2008,-32
Oct 2008,-36
Nov 2008,-35
Dec 2008,-33
Jan 2009,-37
Feb 2009,-35
Mar 2009,-30
Apr 2009,-27
May 2009,-27
Jun 2009,-25
Jul 2009,-25
Aug 2009,-25
Sep 2009,-16
Oct 2009,-13
Nov 2009,-17
Dec 2009,-19
